timestamp,reconstruction_error,anomaly,explanation,Error Count,Response Time (ms),Throughput,hour,period_type,violated_rules,violated_rule_ids,violated_descriptions,violated_severities
2023-01-16 00:30:00,0.0112310011600366,0,High deviation in 'Throughput',1.6,192.462,95.2,0,Off Hours,[],[],[],[]
2023-01-16 00:31:00,0.011290197777234,0,High deviation in 'Throughput',1.8,182.542,90.2,0,Off Hours,[],[],[],[]
2023-01-16 00:32:00,0.0117530053596348,0,High deviation in 'Throughput',2.0,153.398,89.2,0,Off Hours,[],[],[],[]
2023-01-16 00:33:00,0.0114094077412733,0,High deviation in 'Response Time (ms)',1.4,225.104,88.8,0,Off Hours,[],[],[],[]
2023-01-16 00:34:00,0.0122200155832331,0,High deviation in 'Response Time (ms)',1.6,176.844,85.6,0,Off Hours,[],[],[],[]
2023-01-16 00:35:00,0.0120592458981257,0,High deviation in 'Response Time (ms)',0.6,191.45,91.4,0,Off Hours,[],[],[],[]
2023-01-16 00:36:00,0.012299574366438,0,High deviation in 'Throughput',2.8,196.432,89.2,0,Off Hours,"[{'id': 'SLA_002', 'description': 'Error count should remain below 2 at all times', 'severity': 'Medium'}]",['SLA_002'],['Error count should remain below 2 at all times'],['Medium']
2023-01-16 00:37:00,0.012249319965452,0,High deviation in 'Response Time (ms)',1.4,192.186,89.2,0,Off Hours,[],[],[],[]
2023-01-16 00:38:00,0.0122796171888418,0,High deviation in 'Throughput',2.0,156.774,88.2,0,Off Hours,[],[],[],[]
2023-01-16 00:39:00,0.0128249903714165,0,High deviation in 'Error Count',1.0,182.994,88.6,0,Off Hours,[],[],[],[]
2023-01-16 00:40:00,0.0117271063601304,0,High deviation in 'Response Time (ms)',2.2,189.498,89.0,0,Off Hours,"[{'id': 'SLA_002', 'description': 'Error count should remain below 2 at all times', 'severity': 'Medium'}]",['SLA_002'],['Error count should remain below 2 at all times'],['Medium']
2023-01-16 00:41:00,0.0115677879558697,0,High deviation in 'Response Time (ms)',1.4,207.098,90.4,0,Off Hours,[],[],[],[]
2023-01-16 00:42:00,0.0116876411141146,0,High deviation in 'Error Count',1.4,172.10399999999998,93.8,0,Off Hours,[],[],[],[]
2023-01-16 00:43:00,0.0117944884643303,0,High deviation in 'Throughput',0.6,185.164,82.2,0,Off Hours,[],[],[],[]
2023-01-16 00:44:00,0.0116532661656033,0,High deviation in 'Response Time (ms)',1.8,207.762,89.4,0,Off Hours,[],[],[],[]
2023-01-16 00:45:00,0.0112548926022797,0,High deviation in 'Error Count',2.0,186.926,98.6,0,Off Hours,[],[],[],[]
2023-01-16 00:46:00,0.011529035275119,0,High deviation in 'Throughput',2.0,203.12,86.2,0,Off Hours,[],[],[],[]
2023-01-16 00:47:00,0.0111735119895692,0,High deviation in 'Error Count',1.2,195.25,86.6,0,Off Hours,[],[],[],[]
2023-01-16 00:48:00,0.0115531861020821,0,High deviation in 'Throughput',1.4,212.102,94.4,0,Off Hours,[],[],[],[]
2023-01-16 00:49:00,0.0100998367767686,0,High deviation in 'Throughput',1.4,215.43400000000003,88.6,0,Off Hours,[],[],[],[]
2023-01-16 00:50:00,0.0098247384543408,0,High deviation in 'Throughput',1.6,190.556,86.0,0,Off Hours,[],[],[],[]
2023-01-16 00:51:00,0.010299460328284,0,High deviation in 'Throughput',1.4,221.898,91.2,0,Off Hours,[],[],[],[]
2023-01-16 00:52:00,0.0099794681748202,0,High deviation in 'Response Time (ms)',1.0,169.724,92.8,0,Off Hours,[],[],[],[]
2023-01-16 00:53:00,0.0102155031594502,0,High deviation in 'Throughput',1.0,243.48,88.4,0,Off Hours,[],[],[],[]
2023-01-16 00:54:00,0.0100129433147672,0,High deviation in 'Error Count',1.0,215.202,90.4,0,Off Hours,[],[],[],[]
2023-01-16 00:55:00,0.0094100271592824,0,High deviation in 'Response Time (ms)',1.8,207.646,96.8,0,Off Hours,[],[],[],[]
2023-01-16 00:56:00,0.0097808151331339,0,High deviation in 'Throughput',2.0,173.208,91.4,0,Off Hours,[],[],[],[]
2023-01-16 00:57:00,0.0095282071406588,0,High deviation in 'Throughput',1.2,192.366,86.0,0,Off Hours,[],[],[],[]
2023-01-16 00:58:00,0.0097885983879426,0,High deviation in 'Response Time (ms)',1.6,195.27,85.8,0,Off Hours,[],[],[],[]
2023-01-16 00:59:00,0.0100001160383621,0,High deviation in 'Error Count',1.6,204.896,85.6,0,Off Hours,[],[],[],[]
2023-01-16 01:00:00,0.0096023058830243,0,High deviation in 'Throughput',2.4,202.278,96.6,1,Off Hours,"[{'id': 'SLA_002', 'description': 'Error count should remain below 2 at all times', 'severity': 'Medium'}]",['SLA_002'],['Error count should remain below 2 at all times'],['Medium']
2023-01-16 01:01:00,0.0094003268553016,0,High deviation in 'Throughput',1.6,198.588,87.8,1,Off Hours,[],[],[],[]
